本文,作者,歌集,年代,雑誌（結社）
家鴨らに食み殘されしダアリアは暴風の中に伏しにけるかも,斎藤茂吉,あらたま,1914,アララギ
疾風來と竹のはやしの鳴る音の近くにきこゆ臥りつつをれば,斎藤茂吉,あらたま,1914,アララギ
はつはつに咲きふふみつつあしびきの暴風にゆるる百日紅のはな,斎藤茂吉,あらたま,1914,アララギ
油蟬いま鳴きにけり大かせのなごりの著るき百日紅のはな,斎藤茂吉,あらたま,1914,アララギ
向日葵は諸伏しゐたりひた吹きに疾風ふき過ぎし方にむかひて,斎藤茂吉,あらたま,1914,アララギ
熱いでて臥しつつ思ふかかる日に言よせ妻は何をいふらむ,斎藤茂吉,あらたま,1914,アララギ
嵐やや和ぎ行きにけり床のへに群ぎもさやぎ熱いでて居り,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
遊光,斎藤茂吉,あらたま,1914,アララギ
ふくらめる陸稻ばたけに人はゐずあめなるや日のひかり澄みつつ,斎藤茂吉,あらたま,1914,アララギ
空をかぎりまろくひろごれる靑畑をいそぎてのぼる人ひとり見ゆ,斎藤茂吉,あらたま,1914,アララギ
ありかたや玉蜀黍の實のもろもろもみな紅毛をいただきにけり,斎藤茂吉,あらたま,1914,アララギ
な騷ぎそ此の郊外に眞日落ちて山羊は土掘り臥しにけるかも,斎藤茂吉,あらたま,1914,アララギ
あかあかと南瓜ころがりゐたりけりむかうの道を農夫はかへる,斎藤茂吉,あらたま,1914,アララギ
ゆふづくと南瓜ばたけに漂へるあかき遊光に礙あらずも,斎藤茂吉,あらたま,1914,アララギ
あかあかと土に埋まる大日のなかにひと見ゆ鍬をかつぎて,斎藤茂吉,あらたま,1914,アララギ
眞日おつる陸稻ばたけの向うにもひとりさびしく農夫かがめり,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
海濱守命,斎藤茂吉,あらたま,1914,アララギ
ゆふぐれの海の淺處にぬばたまの黑牛疲れて洗はれにけり,斎藤茂吉,あらたま,1914,アララギ
ゆふ渚もの言はぬ牛つかれ來てあたまも專ら洗はれにけり,斎藤茂吉,あらたま,1914,アララギ
たどり來て煙草ばたけに密ひそと煙草の花を妻とぬすみぬ,斎藤茂吉,あらたま,1914,アララギ
ゆふされば煙草ばたけにかくまれし家念佛すひとは見えなく,斎藤茂吉,あらたま,1914,アララギ
海此岸に童のこゑすなりうらうらと照り滿る光にわれ入らむとす,斎藤茂吉,あらたま,1914,アララギ
うつつなるわらべ專念あそぶこゑ巖の陰よりのびあがり見つ,斎藤茂吉,あらたま,1914,アララギ
あかあかと照りてあそべる童男におのづからなる童女も居り,斎藤茂吉,あらたま,1914,アララギ
日のもとの入江音なし息づくと見れど音こそなかりけるかも,斎藤茂吉,あらたま,1914,アララギ
にちりんは白くちひさし海中に浮びて聲なき童子のあたま,斎藤茂吉,あらたま,1914,アララギ
妻とふたり命まもりて海つべに直つつましく魚くひにけり,斎藤茂吉,あらたま,1914,アララギ
さんごじゆの大樹のうへを行く鴉南なぎさに低くなりつも,斎藤茂吉,あらたま,1914,アララギ
みづゆけば根白高萱かやむらは濡れつつ蟹を寢しむるところ,斎藤茂吉,あらたま,1914,アララギ
しろがねの雨わたつみに輝りけむり漕ぎたみ遠きふたり舟びと,斎藤茂吉,あらたま,1914,アララギ
一列に女かがまりあかあかと煙草葉を翻へす晝のなぎさに,斎藤茂吉,あらたま,1914,アララギ
いくたりも人いで來りゆふ待ちて海の藥草に火をつけにけり,斎藤茂吉,あらたま,1914,アララギ
この濱に家ゐて鱗を食ひしかば命はながくなりにけむかも,斎藤茂吉,あらたま,1914,アララギ
海岸にひとりの童子泣きにけりたらちねの母いづくを來らむ,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
三崎行,斎藤茂吉,あらたま,1914,アララギ
いちめんにふくらみ圓き粟畑を潮ふきあげし疾かせとほる,斎藤茂吉,あらたま,1914,アララギ
あをあをとおもき煙草のひろ葉畑くろき著物の人かがみつも,斎藤茂吉,あらたま,1914,アララギ
日もすがら煙草ばたけに蹲りをみなしづかに蟲をつぶせり,斎藤茂吉,あらたま,1914,アララギ
紺に照る海と海との中やまにみづうみありてかぎろひのぼる,斎藤茂吉,あらたま,1914,アララギ
ぬすみたる煙草の花の一にぎりもち步き來て妻にわたせり,斎藤茂吉,あらたま,1914,アララギ
まるくふくれし煙草ばたけの向う道馬車は小さく隱ろひにけり,斎藤茂吉,あらたま,1914,アララギ
松並樹くろくはるけしなげけとて笠著て旅路ゆくひとのあり,斎藤茂吉,あらたま,1914,アララギ
入日には金のまさごの搖られくる小磯の波に足をぬらす,斎藤茂吉,あらたま,1914,アララギ
けふもまた急げいそげとのぼり馬とほり過へる馬を見て嘶く,斎藤茂吉,あらたま,1914,アララギ
旅を來てかすかに心の澄むものは一樹のかげの蒟蒻ぐさのたま,斎藤茂吉,あらたま,1914,アララギ
しみじみと肉眼もちて見るものは蒟蒻ぐさのくきの太たち,斎藤茂吉,あらたま,1914,アララギ
ほくほくとけふも三崎へのぼり馬粟畑こえていななきにけり,斎藤茂吉,あらたま,1914,アララギ
こんにゃくの莖の靑斑の太莖をすぽりと拔きて聲もたてなく,斎藤茂吉,あらたま,1914,アララギ
ひたぶるに河豚はふくれて水のうへありのままなる命死にゐる,斎藤茂吉,あらたま,1914,アララギ
潮の上に怺へかねたる河豚の子は眼をあきて命をはれり,斎藤茂吉,あらたま,1914,アララギ
かうかうと西吹きあげて海雀あなたふと空に澄みゐて飛ばず,斎藤茂吉,あらたま,1914,アララギ
あがつまと古泉千樫と三人して淸きこの濱に一夜ねにけり,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
秩父山,斎藤茂吉,あらたま,1914,アララギ
ちちのみの秩父の山に時雨ふり峽間ほそ路に人ぬるる見ゆ,斎藤茂吉,あらたま,1914,アララギ
ここにして秩父はざまの溪の水いはに迫りて白くたぎつも,斎藤茂吉,あらたま,1914,アララギ
さむざむと秩父の山に入りにけり馬は恐るる山ふかみかも,斎藤茂吉,あらたま,1914,アララギ
据風呂のなかにしまらく目を閉ぢてありがたきかなや人の音もせず,斎藤茂吉,あらたま,1914,アララギ
苦行者も通りにけらしこの水をいつくし細しといひにけらしも,斎藤茂吉,あらたま,1914,アララギ
石斧ひそむ畑のなかに草鞋ぬぎ肉刺を撫りてひとり居りけり,斎藤茂吉,あらたま,1914,アララギ
岨をゆく人に追ひつき水わたる足つめたしといひにけるかも,斎藤茂吉,あらたま,1914,アララギ
夜おそく風呂のけむりの香をかぎて世にも遠かる思ひぞわがする,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
時雨,斎藤茂吉,あらたま,1914,アララギ
片山かげに靑々として畑あり時雨の雨の降りにけるかも,斎藤茂吉,あらたま,1914,アララギ
山峽に朝なゆふなに人居りてものを言ふこそあはれなりけれ,斎藤茂吉,あらたま,1914,アララギ
山こえて片山かげの靑畑ゆふべしぐれの音のさびしさ,斎藤茂吉,あらたま,1914,アララギ
ゆふされば大根の葉にふる時雨いたく寂しく降りにけるかも,斎藤茂吉,あらたま,1914,アララギ
山ふかく遊行をしたり假初のものとなおもひ山は邃しも,斎藤茂吉,あらたま,1914,アララギ
ひさかたのしぐれふりくる空さびし土に下りたちて鴉は啼くも,斎藤茂吉,あらたま,1914,アララギ
しぐれふる峽にいりつつうつしみのともしび見えず馬のおとすも,斎藤茂吉,あらたま,1914,アララギ
現身はみなねむりたりみ空より小夜時雨ふるこの寒しぐれ,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,1914,アララギ
冬日,斎藤茂吉,あらたま,1914,アララギ
かんかんと橡の太樹の立てらくを背向にしつつわれぞ步める,斎藤茂吉,あらたま,1914,アララギ
橡の樹のひろ葉みな落ちて鴉ゐる枝のさゆれのよく見ゆるかも,斎藤茂吉,あらたま,1914,アララギ
ふゆ原に給をかく男ひとり來て動くけむりをかきはじめたり,斎藤茂吉,あらたま,1914,アララギ
しぐれふる空の下道身は濡れて緣なきものと我が思はなくに,斎藤茂吉,あらたま,1914,アララギ
ふゆ空に虹の立つこそやさしけれ角兵衞童子坂のぼりつつ,斎藤茂吉,あらたま,1914,アララギ
くれなゐの獅子をかうべにもつ童子もんどり打ちてあはれなるかも,斎藤茂吉,あらたま,1914,アララギ
墓はらをこえて聯隊兵營のゆふ寒空に立てる虹かも,斎藤茂吉,あらたま,1914,アララギ
向うには小竹林の黃の照りのいよよさびしく日はかたむきぬ,斎藤茂吉,あらたま,1914,アララギ
,斎藤茂吉,あらたま,,アララギ
大正四年,斎藤茂吉,あらたま,,アララギ
小竹林,斎藤茂吉,あらたま,1915,アララギ
ひるさむき光しんしんとまぢかくの細竹群に染みいろを見む,斎藤茂吉,あらたま,1915,アララギ
ひとむらとしげる竹むら黃に照りてわれのそがひに冬日かたむく,斎藤茂吉,あらたま,1915,アララギ
冬さむき日のちりぢりに篁の黃にそよぐこそあはれなりけれ,斎藤茂吉,あらたま,1915,アララギ
うつし身はかなしきかなや箪の寒きひかりを見むとし思ふ,斎藤茂吉,あらたま,1915,アララギ
ひとむきに細篁をかたむけし寒かせのなごりふかくこもりつ,斎藤茂吉,あらたま,1915,アララギ
入日さすほそたかむらをそがひにし出で入る息を愛しみにけり,斎藤茂吉,あらたま,1915,アララギ
ひとときを明るく照りしたかむらにこもるしづかさや夕づきにつつ,斎藤茂吉,あらたま,1915,アララギ
愛しめる命をもちて冬の日の染むたかむらに遠ざかりつも,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
雜歌,斎藤茂吉,あらたま,1915,アララギ
野のなかの自づから深き赤土ぞこに春さりくれど霜をむすぶに,斎藤茂吉,あらたま,1915,アララギ
日のひかりの隈なきに眠る豚ひとつまなこをひらく寂しとぞいはむ,斎藤茂吉,あらたま,1915,アララギ
しづかなる冬木のなかのゆづり葉のにほふ厚葉に紅のかなしさ,斎藤茂吉,あらたま,1915,アララギ
汗たらし朝坂のぼる荷ぐるまの轍おもひきり霜柱つぶす,斎藤茂吉,あらたま,1915,アララギ
けむりのぼる砲工廠の土手のへに薄はしろく枯れにけるかも,斎藤茂吉,あらたま,1915,アララギ
あが母の吾を生ましけむうらわかきかなしきカおもはざらめや　大悲二首,斎藤茂吉,あらたま,1915,アララギ
ははそはの母をおもへば假初に生れこしわれと豈おもはめや,斎藤茂吉,あらたま,1915,アララギ
水のへにかぎろひの立つ春の日の君が心づまいよよ淸しく　新婚賀三首,斎藤茂吉,あらたま,1915,アララギ
あわ雪のながれふる夜のさ夜ふけてつま問ふ君を我は嬉しむ,斎藤茂吉,あらたま,1915,アララギ
きぞの夜に足らひ降りけむ春の雪つまが手とりてその雪ふます,斎藤茂吉,あらたま,1915,アララギ
いばらきの大津みなとに篝火たき泊てたる舟にをさなごのこゑ,斎藤茂吉,あらたま,1915,アララギ
幾朝か軍器工廠の境内に霜しろきを見つつ我は來にけむ,斎藤茂吉,あらたま,1915,アララギ
富坂を橫にくぐりて溝のみづ砲工廠に入りにけるかも,斎藤茂吉,あらたま,1915,アララギ
機關銃の音のするどき境内をのびあがり見れば土手ふくれ見ゆ,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
朝,斎藤茂吉,あらたま,1915,アララギ
ほからほからとひかりあかるき朝の小床に眼をあきて居りにけり,斎藤茂吉,あらたま,1915,アララギ
きぞの夜の戸閉わすれて寢しより朝てる光のなかに寢てゐつ,斎藤茂吉,あらたま,1915,アララギ
ありのままねむり目ざめし室中の光たむろに飛ぶものもなし,斎藤茂吉,あらたま,1915,アララギ
ほそほそと女のこゑす我が室に誰か來るかとおもひけるかも,斎藤茂吉,あらたま,1915,アララギ
うつしみは誰も來ずけり頭より光かむりて眼あき居り,斎藤茂吉,あらたま,1915,アララギ
朝早く溜まる光にかがやきてえも言はれなき塵をどり居り,斎藤茂吉,あらたま,1915,アララギ
かうべを照らす朝日子のつくづくとうづの光に塵をどるみゆ,斎藤茂吉,あらたま,1915,アララギ
光には微塵をどりてとどまらず肉眼もちて見るべかりけり　四月作,斎藤茂吉,あらたま,1915,アララギ
,斎藤茂吉,あらたま,1915,アララギ
春雨,斎藤茂吉,あらたま,1915,アララギ
外面には雨のふる音かすかなりこころ靜かに二階をくだる,斎藤茂吉,あらたま,1915,アララギ
春雨は降りて幽けしこの夜半に家のかひ馬の目ざむる音す,斎藤茂吉,あらたま,1915,アララギ
